months,births_in_thousand
1,26.663
2,23.598000000000003
3,26.930999999999997
4,24.74
5,25.805999999999997
6,24.364
7,24.476999999999997
8,23.901
9,23.175
10,23.226999999999997
11,21.671999999999997
12,21.87
13,21.439
14,21.089000000000002
15,23.709
16,21.669
17,21.752
18,20.761
19,23.479
20,23.824
21,23.105
22,23.11
23,21.759
24,22.073
25,21.936999999999998
26,20.035
27,23.59
28,21.671999999999997
29,22.221999999999998
30,22.123
31,23.95
32,23.504
33,22.238000000000003
34,23.142
35,21.059
36,21.573
37,21.548000000000002
38,20.0
39,22.424
40,20.615
41,21.761
42,22.874000000000002
43,24.104
44,23.748
45,23.261999999999997
46,22.906999999999996
47,21.519000000000002
48,22.025
49,22.604
50,20.894000000000002
51,24.677
52,23.673000000000002
53,25.32
54,23.583000000000002
55,24.671
56,24.454
57,24.122
58,24.252
59,22.084
60,22.991
61,23.287
62,23.049
63,25.076
64,24.037
65,24.43
66,24.666999999999998
67,26.451
68,25.618000000000002
69,25.014
70,25.11
71,22.964000000000002
72,23.980999999999998
73,23.798000000000002
74,22.27
75,24.775
76,22.646
77,23.988000000000003
78,24.737
79,26.276
80,25.816
81,25.21
82,25.199
83,23.162
84,24.706999999999997
85,24.364
86,22.644000000000002
87,25.565
88,24.061999999999998
89,25.430999999999997
90,24.635
91,27.009
92,26.605999999999998
93,26.268
94,26.462
95,25.246
96,25.18
97,24.656999999999996
98,23.304000000000002
99,26.982
100,26.199
101,27.21
102,26.122
103,26.706
104,26.878
105,26.151999999999997
106,26.379
107,24.712
108,25.688000000000002
109,24.99
110,24.239
111,26.721
112,23.475
113,24.767
114,26.219
115,28.361
116,28.599
117,27.914
118,27.784000000000002
119,25.693
120,26.881
121,26.217
122,24.218000000000004
123,27.914
124,26.975
125,28.526999999999997
126,27.139
127,28.982
128,28.169
129,28.055999999999997
130,29.136
131,26.291
132,26.987
133,26.589000000000002
134,24.848000000000003
135,27.543000000000003
136,26.896
137,28.878
138,27.39
139,28.065
140,28.141
141,29.048000000000002
142,28.484
143,26.634
144,27.735
145,27.131999999999998
146,24.924
147,28.963
148,26.589000000000002
149,27.930999999999997
150,28.009
151,29.229
152,28.759
153,28.405
154,27.945
155,25.912
156,26.619
157,26.076
158,25.285999999999998
159,27.66
160,25.951
161,26.398000000000003
162,25.565
163,28.865
164,30.0
165,29.261
166,29.011999999999997
167,26.991999999999997
168,27.897
